,utm_source,utm_medium,utm_campaign,utm_content,date,goal_add_to_cart,goal_move_to_cart,goal_order_in_cart,goal_pay_success,goal_order_confirmed,new_user,order_amount,order_sum
195,blogger,post,bloggercampaignname_1330,0.0,2020-11-08,0,0,0,0,0,1,0,0
196,blogger,post,bloggercampaignname_1330,0.0,2020-11-09,0,0,0,0,0,1,0,0
197,blogger,post,bloggercampaignname_1330,0.0,2020-11-11,0,0,0,0,0,0,0,0
198,blogger,post,bloggercampaignname_1330,0.0,2020-11-13,1,0,0,0,0,0,0,0
199,blogger,post,bloggercampaignname_1330,0.0,2020-11-14,0,0,0,0,0,1,0,0
200,blogger,post,bloggercampaignname_1330,0.0,2020-11-15,1,0,0,0,0,2,0,0
201,blogger,post,bloggercampaignname_1330,0.0,2020-11-16,0,0,0,0,0,2,0,0
202,blogger,post,bloggercampaignname_1330,0.0,2020-11-17,0,0,0,0,0,0,0,0
203,blogger,post,bloggercampaignname_1330,0.0,2020-11-19,0,0,0,0,0,1,0,0
204,blogger,post,bloggercampaignname_1330,0.0,2020-11-20,0,0,0,0,0,0,0,0
205,blogger,post,bloggercampaignname_1330,0.0,2020-11-21,0,0,0,0,0,0,0,0
206,blogger,post,bloggercampaignname_1330,0.0,2020-11-24,0,0,0,0,0,0,0,0
207,blogger,post,bloggercampaignname_1330,0.0,2020-11-25,1,0,0,0,0,2,0,0
208,blogger,post,bloggercampaignname_1330,0.0,2020-11-27,0,0,0,0,0,1,0,0
209,blogger,post,bloggercampaignname_1330,0.0,2020-12-02,1,2,2,0,0,3,0,0
210,blogger,post,bloggercampaignname_1330,0.0,2020-12-08,0,0,0,0,0,1,0,0
211,blogger,post,bloggercampaignname_1330,0.0,2020-12-13,0,0,0,0,0,0,0,0
212,blogger,post,bloggercampaignname_1330,0.0,2020-12-31,0,0,0,0,0,0,0,0
213,blogger,post,bloggercampaignname_1499,0.0,2020-10-28,0,0,0,0,0,0,0,0
214,blogger,post,bloggercampaignname_1499,0.0,2020-11-06,1,1,1,1,0,18,3,3795
215,blogger,post,bloggercampaignname_1499,0.0,2020-11-24,0,0,0,0,0,0,0,0
216,blogger,post,bloggercampaignname_1500,0.0,2020-11-06,8,3,4,1,0,70,6,7932
217,blogger,post,bloggercampaignname_1500,0.0,2020-11-07,12,2,5,5,4,121,19,22046
218,blogger,post,bloggercampaignname_1500,0.0,2020-11-08,4,1,4,2,1,29,10,11895
219,blogger,post,bloggercampaignname_1500,0.0,2020-11-09,3,0,0,1,1,25,4,4500
220,blogger,post,bloggercampaignname_1500,0.0,2020-11-10,4,1,5,1,1,13,5,5030
221,blogger,post,bloggercampaignname_1500,0.0,2020-11-11,2,0,1,0,0,9,0,0
222,blogger,post,bloggercampaignname_1500,0.0,2020-11-12,2,2,2,0,0,6,0,0
223,blogger,post,bloggercampaignname_1500,0.0,2020-11-13,0,0,0,0,0,1,0,0
224,blogger,post,bloggercampaignname_1500,0.0,2020-11-14,1,0,0,0,0,5,0,0
225,blogger,post,bloggercampaignname_1500,0.0,2020-11-15,1,1,1,0,0,2,0,0
226,blogger,post,bloggercampaignname_1500,0.0,2020-11-16,0,0,1,0,0,1,0,0
227,blogger,post,bloggercampaignname_1500,0.0,2020-11-17,1,1,1,0,0,3,0,0
